Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Ámbito territorial;Disponibilidad de taxímetro;periodo;Total
Total Nacional;07 Castilla y León;37 Salamanca;Provincia;Sin taxímetro;2014;128
Total Nacional;07 Castilla y León;37 Salamanca;Provincia;Sin taxímetro;2013;126
Total Nacional;07 Castilla y León;37 Salamanca;Provincia;Sin taxímetro;2012;107
Total Nacional;07 Castilla y León;37 Salamanca;Provincia;Sin taxímetro;2011;105
Total Nacional;07 Castilla y León;37 Salamanca;Provincia;Sin taxímetro;2010;123
Total Nacional;07 Castilla y León;37 Salamanca;Provincia;Sin taxímetro;2009;123
Total Nacional;07 Castilla y León;37 Salamanca;Provincia;Sin taxímetro;2008;126
Total Nacional;07 Castilla y León;37 Salamanca;Provincia;Sin taxímetro;2007;93
Total Nacional;07 Castilla y León;37 Salamanca;Provincia;Sin taxímetro;2006;135
Total Nacional;07 Castilla y León;37 Salamanca;Provincia;Sin taxímetro;2005;125
Total Nacional;07 Castilla y León;37 Salamanca;Provincia;Sin taxímetro;2004;149
Total Nacional;07 Castilla y León;37 Salamanca;Provincia;Sin taxímetro;2003;139
Total Nacional;07 Castilla y León;37 Salamanca;Provincia;Sin taxímetro;2002;139
Total Nacional;07 Castilla y León;37 Salamanca;Provincia;Sin taxímetro;2001;134
Total Nacional;07 Castilla y León;37 Salamanca;Provincia;Sin taxímetro;2000;140
Total Nacional;07 Castilla y León;37 Salamanca;Provincia;Sin taxímetro;1999;160
Total Nacional;07 Castilla y León;37 Salamanca;Provincia;Sin taxímetro;1998;163
Total Nacional;07 Castilla y León;37 Salamanca;Provincia;Sin taxímetro;1997;163
Total Nacional;07 Castilla y León;37 Salamanca;Provincia;Sin taxímetro;1996;175
Total Nacional;07 Castilla y León;37 Salamanca;Provincia;Sin taxímetro;1995;186
Total Nacional;07 Castilla y León;37 Salamanca;Provincia;Sin taxímetro;1994;188
Total Nacional;07 Castilla y León;37 Salamanca;Capital de Provincia;Total;2019;223
Total Nacional;07 Castilla y León;37 Salamanca;Capital de Provincia;Total;2018;223
Total Nacional;07 Castilla y León;37 Salamanca;Capital de Provincia;Total;2017;223
Total Nacional;07 Castilla y León;37 Salamanca;Capital de Provincia;Total;2016;223
Total Nacional;07 Castilla y León;37 Salamanca;Capital de Provincia;Total;2015;223
Total Nacional;07 Castilla y León;37 Salamanca;Capital de Provincia;Total;2014;223
Total Nacional;07 Castilla y León;37 Salamanca;Capital de Provincia;Total;2013;223
Total Nacional;07 Castilla y León;37 Salamanca;Capital de Provincia;Total;2012;223
Total Nacional;07 Castilla y León;37 Salamanca;Capital de Provincia;Total;2011;223
Total Nacional;07 Castilla y León;37 Salamanca;Capital de Provincia;Total;2010;223
Total Nacional;07 Castilla y León;37 Salamanca;Capital de Provincia;Total;2009;223
Total Nacional;07 Castilla y León;37 Salamanca;Capital de Provincia;Total;2008;223
Total Nacional;07 Castilla y León;37 Salamanca;Capital de Provincia;Total;2007;223
Total Nacional;07 Castilla y León;37 Salamanca;Capital de Provincia;Total;2006;223
Total Nacional;07 Castilla y León;37 Salamanca;Capital de Provincia;Total;2005;223
Total Nacional;07 Castilla y León;37 Salamanca;Capital de Provincia;Total;2004;223
Total Nacional;07 Castilla y León;37 Salamanca;Capital de Provincia;Total;2003;223
Total Nacional;07 Castilla y León;37 Salamanca;Capital de Provincia;Total;2002;223
Total Nacional;07 Castilla y León;37 Salamanca;Capital de Provincia;Total;2001;223
Total Nacional;07 Castilla y León;37 Salamanca;Capital de Provincia;Total;2000;223
Total Nacional;07 Castilla y León;37 Salamanca;Capital de Provincia;Total;1999;223
Total Nacional;07 Castilla y León;37 Salamanca;Capital de Provincia;Total;1998;225
Total Nacional;07 Castilla y León;37 Salamanca;Capital de Provincia;Total;1997;223
Total Nacional;07 Castilla y León;37 Salamanca;Capital de Provincia;Total;1996;222
Total Nacional;07 Castilla y León;37 Salamanca;Capital de Provincia;Total;1995;223
Total Nacional;07 Castilla y León;37 Salamanca;Capital de Provincia;Total;1994;223
Total Nacional;07 Castilla y León;37 Salamanca;Capital de Provincia;Con taxímetro;2019;223
Total Nacional;07 Castilla y León;37 Salamanca;Capital de Provincia;Con taxímetro;2018;223
Total Nacional;07 Castilla y León;37 Salamanca;Capital de Provincia;Con taxímetro;2017;223
Total Nacional;07 Castilla y León;37 Salamanca;Capital de Provincia;Con taxímetro;2016;223
Total Nacional;07 Castilla y León;37 Salamanca;Capital de Provincia;Con taxímetro;2015;223
Total Nacional;07 Castilla y León;37 Salamanca;Capital de Provincia;Con taxímetro;2014;223
Total Nacional;07 Castilla y León;37 Salamanca;Capital de Provincia;Con taxímetro;2013;223
Total Nacional;07 Castilla y León;37 Salamanca;Capital de Provincia;Con taxímetro;2012;223
Total Nacional;07 Castilla y León;37 Salamanca;Capital de Provincia;Con taxímetro;2011;223
Total Nacional;07 Castilla y León;37 Salamanca;Capital de Provincia;Con taxímetro;2010;223
Total Nacional;07 Castilla y León;37 Salamanca;Capital de Provincia;Con taxímetro;2009;223
Total Nacional;07 Castilla y León;37 Salamanca;Capital de Provincia;Con taxímetro;2008;223
Total Nacional;07 Castilla y León;37 Salamanca;Capital de Provincia;Con taxímetro;2007;223
Total Nacional;07 Castilla y León;37 Salamanca;Capital de Provincia;Con taxímetro;2006;223
Total Nacional;07 Castilla y León;37 Salamanca;Capital de Provincia;Con taxímetro;2005;223
Total Nacional;07 Castilla y León;37 Salamanca;Capital de Provincia;Con taxímetro;2004;223
Total Nacional;07 Castilla y León;37 Salamanca;Capital de Provincia;Con taxímetro;2003;223
Total Nacional;07 Castilla y León;37 Salamanca;Capital de Provincia;Con taxímetro;2002;223
Total Nacional;07 Castilla y León;37 Salamanca;Capital de Provincia;Con taxímetro;2001;223
Total Nacional;07 Castilla y León;37 Salamanca;Capital de Provincia;Con taxímetro;2000;223
Total Nacional;07 Castilla y León;37 Salamanca;Capital de Provincia;Con taxímetro;1999;223
Total Nacional;07 Castilla y León;37 Salamanca;Capital de Provincia;Con taxímetro;1998;225
Total Nacional;07 Castilla y León;37 Salamanca;Capital de Provincia;Con taxímetro;1997;223
Total Nacional;07 Castilla y León;37 Salamanca;Capital de Provincia;Con taxímetro;1996;222
Total Nacional;07 Castilla y León;37 Salamanca;Capital de Provincia;Con taxímetro;1995;223
Total Nacional;07 Castilla y León;37 Salamanca;Capital de Provincia;Con taxímetro;1994;223
Total Nacional;07 Castilla y León;37 Salamanca;Capital de Provincia;Sin taxímetro;2019;0
Total Nacional;07 Castilla y León;37 Salamanca;Capital de Provincia;Sin taxímetro;2018;0
Total Nacional;07 Castilla y León;37 Salamanca;Capital de Provincia;Sin taxímetro;2017;0
Total Nacional;07 Castilla y León;37 Salamanca;Capital de Provincia;Sin taxímetro;2016;0
Total Nacional;07 Castilla y León;37 Salamanca;Capital de Provincia;Sin taxímetro;2015;0
Total Nacional;07 Castilla y León;37 Salamanca;Capital de Provincia;Sin taxímetro;2014;0
Total Nacional;07 Castilla y León;37 Salamanca;Capital de Provincia;Sin taxímetro;2013;0
Total Nacional;07 Castilla y León;37 Salamanca;Capital de Provincia;Sin taxímetro;2012;0
Total Nacional;07 Castilla y León;37 Salamanca;Capital de Provincia;Sin taxímetro;2011;0
Total Nacional;07 Castilla y León;37 Salamanca;Capital de Provincia;Sin taxímetro;2010;0
Total Nacional;07 Castilla y León;37 Salamanca;Capital de Provincia;Sin taxímetro;2009;0
Total Nacional;07 Castilla y León;37 Salamanca;Capital de Provincia;Sin taxímetro;2008;0
Total Nacional;07 Castilla y León;37 Salamanca;Capital de Provincia;Sin taxímetro;2007;0
Total Nacional;07 Castilla y León;37 Salamanca;Capital de Provincia;Sin taxímetro;2006;0
Total Nacional;07 Castilla y León;37 Salamanca;Capital de Provincia;Sin taxímetro;2005;0
Total Nacional;07 Castilla y León;37 Salamanca;Capital de Provincia;Sin taxímetro;2004;0
Total Nacional;07 Castilla y León;37 Salamanca;Capital de Provincia;Sin taxímetro;2003;0
Total Nacional;07 Castilla y León;37 Salamanca;Capital de Provincia;Sin taxímetro;2002;0
Total Nacional;07 Castilla y León;37 Salamanca;Capital de Provincia;Sin taxímetro;2001;0
Total Nacional;07 Castilla y León;37 Salamanca;Capital de Provincia;Sin taxímetro;2000;0
Total Nacional;07 Castilla y León;37 Salamanca;Capital de Provincia;Sin taxímetro;1999;0
Total Nacional;07 Castilla y León;37 Salamanca;Capital de Provincia;Sin taxímetro;1998;0
Total Nacional;07 Castilla y León;37 Salamanca;Capital de Provincia;Sin taxímetro;1997;0
Total Nacional;07 Castilla y León;37 Salamanca;Capital de Provincia;Sin taxímetro;1996;0
Total Nacional;07 Castilla y León;37 Salamanca;Capital de Provincia;Sin taxímetro;1995;0
Total Nacional;07 Castilla y León;37 Salamanca;Capital de Provincia;Sin taxímetro;1994;0
Total Nacional;07 Castilla y León;40 Segovia;Provincia;Total;2019;164
Total Nacional;07 Castilla y León;40 Segovia;Provincia;Total;2018;166
Total Nacional;07 Castilla y León;40 Segovia;Provincia;Total;2017;164
Total Nacional;07 Castilla y León;40 Segovia;Provincia;Total;2016;165
Total Nacional;07 Castilla y León;40 Segovia;Provincia;Total;2015;165
Total Nacional;07 Castilla y León;40 Segovia;Provincia;Total;2014;169
Total Nacional;07 Castilla y León;40 Segovia;Provincia;Total;2013;161
Total Nacional;07 Castilla y León;40 Segovia;Provincia;Total;2012;160
Total Nacional;07 Castilla y León;40 Segovia;Provincia;Total;2011;158
Total Nacional;07 Castilla y León;40 Segovia;Provincia;Total;2010;157
Total Nacional;07 Castilla y León;40 Segovia;Provincia;Total;2009;157
Total Nacional;07 Castilla y León;40 Segovia;Provincia;Total;2008;160
Total Nacional;07 Castilla y León;40 Segovia;Provincia;Total;2007;144
Total Nacional;07 Castilla y León;40 Segovia;Provincia;Total;2006;139
Total Nacional;07 Castilla y León;40 Segovia;Provincia;Total;2005;142
Total Nacional;07 Castilla y León;40 Segovia;Provincia;Total;2004;142
Total Nacional;07 Castilla y León;40 Segovia;Provincia;Total;2003;136
Total Nacional;07 Castilla y León;40 Segovia;Provincia;Total;2002;143
Total Nacional;07 Castilla y León;40 Segovia;Provincia;Total;2001;145
Total Nacional;07 Castilla y León;40 Segovia;Provincia;Total;2000;143
Total Nacional;07 Castilla y León;40 Segovia;Provincia;Total;1999;147
Total Nacional;07 Castilla y León;40 Segovia;Provincia;Total;1998;135
Total Nacional;07 Castilla y León;40 Segovia;Provincia;Total;1997;134
Total Nacional;07 Castilla y León;40 Segovia;Provincia;Total;1996;140
Total Nacional;07 Castilla y León;40 Segovia;Provincia;Total;1995;154
Total Nacional;07 Castilla y León;40 Segovia;Provincia;Total;1994;147
Total Nacional;07 Castilla y León;40 Segovia;Provincia;Con taxímetro;2019;62
Total Nacional;07 Castilla y León;40 Segovia;Provincia;Con taxímetro;2018;61
Total Nacional;07 Castilla y León;40 Segovia;Provincia;Con taxímetro;2017;60
Total Nacional;07 Castilla y León;40 Segovia;Provincia;Con taxímetro;2016;60
Total Nacional;07 Castilla y León;40 Segovia;Provincia;Con taxímetro;2015;59
Total Nacional;07 Castilla y León;40 Segovia;Provincia;Con taxímetro;2014;60
Total Nacional;07 Castilla y León;40 Segovia;Provincia;Con taxímetro;2013;60
Total Nacional;07 Castilla y León;40 Segovia;Provincia;Con taxímetro;2012;60
Total Nacional;07 Castilla y León;40 Segovia;Provincia;Con taxímetro;2011;58
Total Nacional;07 Castilla y León;40 Segovia;Provincia;Con taxímetro;2010;58
Total Nacional;07 Castilla y León;40 Segovia;Provincia;Con taxímetro;2009;57
Total Nacional;07 Castilla y León;40 Segovia;Provincia;Con taxímetro;2008;64
Total Nacional;07 Castilla y León;40 Segovia;Provincia;Con taxímetro;2007;60
Total Nacional;07 Castilla y León;40 Segovia;Provincia;Con taxímetro;2006;52
Total Nacional;07 Castilla y León;40 Segovia;Provincia;Con taxímetro;2005;49
Total Nacional;07 Castilla y León;40 Segovia;Provincia;Con taxímetro;2004;51
Total Nacional;07 Castilla y León;40 Segovia;Provincia;Con taxímetro;2003;50
Total Nacional;07 Castilla y León;40 Segovia;Provincia;Con taxímetro;2002;52
Total Nacional;07 Castilla y León;40 Segovia;Provincia;Con taxímetro;2001;49
Total Nacional;07 Castilla y León;40 Segovia;Provincia;Con taxímetro;2000;49
Total Nacional;07 Castilla y León;40 Segovia;Provincia;Con taxímetro;1999;49
Total Nacional;07 Castilla y León;40 Segovia;Provincia;Con taxímetro;1998;51
Total Nacional;07 Castilla y León;40 Segovia;Provincia;Con taxímetro;1997;50
Total Nacional;07 Castilla y León;40 Segovia;Provincia;Con taxímetro;1996;50
Total Nacional;07 Castilla y León;40 Segovia;Provincia;Con taxímetro;1995;51
Total Nacional;07 Castilla y León;40 Segovia;Provincia;Con taxímetro;1994;50
Total Nacional;07 Castilla y León;40 Segovia;Provincia;Sin taxímetro;2019;102
Total Nacional;07 Castilla y León;40 Segovia;Provincia;Sin taxímetro;2018;105
Total Nacional;07 Castilla y León;40 Segovia;Provincia;Sin taxímetro;2017;104
Total Nacional;07 Castilla y León;40 Segovia;Provincia;Sin taxímetro;2016;105
Total Nacional;07 Castilla y León;40 Segovia;Provincia;Sin taxímetro;2015;106
Total Nacional;07 Castilla y León;40 Segovia;Provincia;Sin taxímetro;2014;109
Total Nacional;07 Castilla y León;40 Segovia;Provincia;Sin taxímetro;2013;101
Total Nacional;07 Castilla y León;40 Segovia;Provincia;Sin taxímetro;2012;100
Total Nacional;07 Castilla y León;40 Segovia;Provincia;Sin taxímetro;2011;100
Total Nacional;07 Castilla y León;40 Segovia;Provincia;Sin taxímetro;2010;99
Total Nacional;07 Castilla y León;40 Segovia;Provincia;Sin taxímetro;2009;100
Total Nacional;07 Castilla y León;40 Segovia;Provincia;Sin taxímetro;2008;96
Total Nacional;07 Castilla y León;40 Segovia;Provincia;Sin taxímetro;2007;84
Total Nacional;07 Castilla y León;40 Segovia;Provincia;Sin taxímetro;2006;87
Total Nacional;07 Castilla y León;40 Segovia;Provincia;Sin taxímetro;2005;93
Total Nacional;07 Castilla y León;40 Segovia;Provincia;Sin taxímetro;2004;91
Total Nacional;07 Castilla y León;40 Segovia;Provincia;Sin taxímetro;2003;86
Total Nacional;07 Castilla y León;40 Segovia;Provincia;Sin taxímetro;2002;91
Total Nacional;07 Castilla y León;40 Segovia;Provincia;Sin taxímetro;2001;96
Total Nacional;07 Castilla y León;40 Segovia;Provincia;Sin taxímetro;2000;94
Total Nacional;07 Castilla y León;40 Segovia;Provincia;Sin taxímetro;1999;98
Total Nacional;07 Castilla y León;40 Segovia;Provincia;Sin taxímetro;1998;84
Total Nacional;07 Castilla y León;40 Segovia;Provincia;Sin taxímetro;1997;84
Total Nacional;07 Castilla y León;40 Segovia;Provincia;Sin taxímetro;1996;90
Total Nacional;07 Castilla y León;40 Segovia;Provincia;Sin taxímetro;1995;103
Total Nacional;07 Castilla y León;40 Segovia;Provincia;Sin taxímetro;1994;97
Total Nacional;07 Castilla y León;40 Segovia;Capital de Provincia;Total;2019;58
Total Nacional;07 Castilla y León;40 Segovia;Capital de Provincia;Total;2018;58
Total Nacional;07 Castilla y León;40 Segovia;Capital de Provincia;Total;2017;58
Total Nacional;07 Castilla y León;40 Segovia;Capital de Provincia;Total;2016;58
Total Nacional;07 Castilla y León;40 Segovia;Capital de Provincia;Total;2015;58
Total Nacional;07 Castilla y León;40 Segovia;Capital de Provincia;Total;2014;58
Total Nacional;07 Castilla y León;40 Segovia;Capital de Provincia;Total;2013;58
Total Nacional;07 Castilla y León;40 Segovia;Capital de Provincia;Total;2012;58
Total Nacional;07 Castilla y León;40 Segovia;Capital de Provincia;Total;2011;58
Total Nacional;07 Castilla y León;40 Segovia;Capital de Provincia;Total;2010;58
Total Nacional;07 Castilla y León;40 Segovia;Capital de Provincia;Total;2009;56
Total Nacional;07 Castilla y León;40 Segovia;Capital de Provincia;Total;2008;56
Total Nacional;07 Castilla y León;40 Segovia;Capital de Provincia;Total;2007;51
Total Nacional;07 Castilla y León;40 Segovia;Capital de Provincia;Total;2006;49
Total Nacional;07 Castilla y León;40 Segovia;Capital de Provincia;Total;2005;49
Total Nacional;07 Castilla y León;40 Segovia;Capital de Provincia;Total;2004;49
Total Nacional;07 Castilla y León;40 Segovia;Capital de Provincia;Total;2003;49
Total Nacional;07 Castilla y León;40 Segovia;Capital de Provincia;Total;2002;49
Total Nacional;07 Castilla y León;40 Segovia;Capital de Provincia;Total;2001;49
Total Nacional;07 Castilla y León;40 Segovia;Capital de Provincia;Total;2000;49
Total Nacional;07 Castilla y León;40 Segovia;Capital de Provincia;Total;1999;49
Total Nacional;07 Castilla y León;40 Segovia;Capital de Provincia;Total;1998;49
Total Nacional;07 Castilla y León;40 Segovia;Capital de Provincia;Total;1997;49
Total Nacional;07 Castilla y León;40 Segovia;Capital de Provincia;Total;1996;49
Total Nacional;07 Castilla y León;40 Segovia;Capital de Provincia;Total;1995;49
Total Nacional;07 Castilla y León;40 Segovia;Capital de Provincia;Total;1994;49
Total Nacional;07 Castilla y León;40 Segovia;Capital de Provincia;Con taxímetro;2019;58
Total Nacional;07 Castilla y León;40 Segovia;Capital de Provincia;Con taxímetro;2018;58
Total Nacional;07 Castilla y León;40 Segovia;Capital de Provincia;Con taxímetro;2017;58
Total Nacional;07 Castilla y León;40 Segovia;Capital de Provincia;Con taxímetro;2016;58
Total Nacional;07 Castilla y León;40 Segovia;Capital de Provincia;Con taxímetro;2015;58
Total Nacional;07 Castilla y León;40 Segovia;Capital de Provincia;Con taxímetro;2014;58
Total Nacional;07 Castilla y León;40 Segovia;Capital de Provincia;Con taxímetro;2013;58
Total Nacional;07 Castilla y León;40 Segovia;Capital de Provincia;Con taxímetro;2012;58
Total Nacional;07 Castilla y León;40 Segovia;Capital de Provincia;Con taxímetro;2011;58
Total Nacional;07 Castilla y León;40 Segovia;Capital de Provincia;Con taxímetro;2010;58
Total Nacional;07 Castilla y León;40 Segovia;Capital de Provincia;Con taxímetro;2009;56
Total Nacional;07 Castilla y León;40 Segovia;Capital de Provincia;Con taxímetro;2008;56
Total Nacional;07 Castilla y León;40 Segovia;Capital de Provincia;Con taxímetro;2007;51
Total Nacional;07 Castilla y León;40 Segovia;Capital de Provincia;Con taxímetro;2006;49
Total Nacional;07 Castilla y León;40 Segovia;Capital de Provincia;Con taxímetro;2005;49
Total Nacional;07 Castilla y León;40 Segovia;Capital de Provincia;Con taxímetro;2004;49
Total Nacional;07 Castilla y León;40 Segovia;Capital de Provincia;Con taxímetro;2003;49
Total Nacional;07 Castilla y León;40 Segovia;Capital de Provincia;Con taxímetro;2002;49
Total Nacional;07 Castilla y León;40 Segovia;Capital de Provincia;Con taxímetro;2001;49
Total Nacional;07 Castilla y León;40 Segovia;Capital de Provincia;Con taxímetro;2000;49
Total Nacional;07 Castilla y León;40 Segovia;Capital de Provincia;Con taxímetro;1999;49
Total Nacional;07 Castilla y León;40 Segovia;Capital de Provincia;Con taxímetro;1998;49
Total Nacional;07 Castilla y León;40 Segovia;Capital de Provincia;Con taxímetro;1997;49
Total Nacional;07 Castilla y León;40 Segovia;Capital de Provincia;Con taxímetro;1996;49
Total Nacional;07 Castilla y León;40 Segovia;Capital de Provincia;Con taxímetro;1995;49
Total Nacional;07 Castilla y León;40 Segovia;Capital de Provincia;Con taxímetro;1994;49
Total Nacional;07 Castilla y León;40 Segovia;Capital de Provincia;Sin taxímetro;2019;0
Total Nacional;07 Castilla y León;40 Segovia;Capital de Provincia;Sin taxímetro;2018;0
Total Nacional;07 Castilla y León;40 Segovia;Capital de Provincia;Sin taxímetro;2017;0
Total Nacional;07 Castilla y León;40 Segovia;Capital de Provincia;Sin taxímetro;2016;0
Total Nacional;07 Castilla y León;40 Segovia;Capital de Provincia;Sin taxímetro;2015;0
Total Nacional;07 Castilla y León;40 Segovia;Capital de Provincia;Sin taxímetro;2014;0
Total Nacional;07 Castilla y León;40 Segovia;Capital de Provincia;Sin taxímetro;2013;0
Total Nacional;07 Castilla y León;40 Segovia;Capital de Provincia;Sin taxímetro;2012;0
Total Nacional;07 Castilla y León;40 Segovia;Capital de Provincia;Sin taxímetro;2011;0
Total Nacional;07 Castilla y León;40 Segovia;Capital de Provincia;Sin taxímetro;2010;0
Total Nacional;07 Castilla y León;40 Segovia;Capital de Provincia;Sin taxímetro;2009;0
Total Nacional;07 Castilla y León;40 Segovia;Capital de Provincia;Sin taxímetro;2008;0
Total Nacional;07 Castilla y León;40 Segovia;Capital de Provincia;Sin taxímetro;2007;0
Total Nacional;07 Castilla y León;40 Segovia;Capital de Provincia;Sin taxímetro;2006;0
Total Nacional;07 Castilla y León;40 Segovia;Capital de Provincia;Sin taxímetro;2005;0
Total Nacional;07 Castilla y León;40 Segovia;Capital de Provincia;Sin taxímetro;2004;0
Total Nacional;07 Castilla y León;40 Segovia;Capital de Provincia;Sin taxímetro;2003;0
Total Nacional;07 Castilla y León;40 Segovia;Capital de Provincia;Sin taxímetro;2002;0
Total Nacional;07 Castilla y León;40 Segovia;Capital de Provincia;Sin taxímetro;2001;0
Total Nacional;07 Castilla y León;40 Segovia;Capital de Provincia;Sin taxímetro;2000;0
Total Nacional;07 Castilla y León;40 Segovia;Capital de Provincia;Sin taxímetro;1999;0
Total Nacional;07 Castilla y León;40 Segovia;Capital de Provincia;Sin taxímetro;1998;0
Total Nacional;07 Castilla y León;40 Segovia;Capital de Provincia;Sin taxímetro;1997;0
Total Nacional;07 Castilla y León;40 Segovia;Capital de Provincia;Sin taxímetro;1996;0
Total Nacional;07 Castilla y León;40 Segovia;Capital de Provincia;Sin taxímetro;1995;0
Total Nacional;07 Castilla y León;40 Segovia;Capital de Provincia;Sin taxímetro;1994;0
Total Nacional;07 Castilla y León;42 Soria;Provincia;Total;2019;88
Total Nacional;07 Castilla y León;42 Soria;Provincia;Total;2018;89
Total Nacional;07 Castilla y León;42 Soria;Provincia;Total;2017;86
Total Nacional;07 Castilla y León;42 Soria;Provincia;Total;2016;86
Total Nacional;07 Castilla y León;42 Soria;Provincia;Total;2015;90
Total Nacional;07 Castilla y León;42 Soria;Provincia;Total;2014;94
Total Nacional;07 Castilla y León;42 Soria;Provincia;Total;2013;96
Total Nacional;07 Castilla y León;42 Soria;Provincia;Total;2012;97
Total Nacional;07 Castilla y León;42 Soria;Provincia;Total;2011;96
Total Nacional;07 Castilla y León;42 Soria;Provincia;Total;2010;99
Total Nacional;07 Castilla y León;42 Soria;Provincia;Total;2009;102
Total Nacional;07 Castilla y León;42 Soria;Provincia;Total;2008;101
Total Nacional;07 Castilla y León;42 Soria;Provincia;Total;2007;102
Total Nacional;07 Castilla y León;42 Soria;Provincia;Total;2006;105
Total Nacional;07 Castilla y León;42 Soria;Provincia;Total;2005;104
Total Nacional;07 Castilla y León;42 Soria;Provincia;Total;2004;115
Total Nacional;07 Castilla y León;42 Soria;Provincia;Total;2003;115
Total Nacional;07 Castilla y León;42 Soria;Provincia;Total;2002;114
Total Nacional;07 Castilla y León;42 Soria;Provincia;Total;2001;124
Total Nacional;07 Castilla y León;42 Soria;Provincia;Total;2000;118
Total Nacional;07 Castilla y León;42 Soria;Provincia;Total;1999;117
Total Nacional;07 Castilla y León;42 Soria;Provincia;Total;1998;119
Total Nacional;07 Castilla y León;42 Soria;Provincia;Total;1997;122
Total Nacional;07 Castilla y León;42 Soria;Provincia;Total;1996;123
Total Nacional;07 Castilla y León;42 Soria;Provincia;Total;1995;126
Total Nacional;07 Castilla y León;42 Soria;Provincia;Total;1994;123
Total Nacional;07 Castilla y León;42 Soria;Provincia;Con taxímetro;2019;27
Total Nacional;07 Castilla y León;42 Soria;Provincia;Con taxímetro;2018;27
Total Nacional;07 Castilla y León;42 Soria;Provincia;Con taxímetro;2017;23
Total Nacional;07 Castilla y León;42 Soria;Provincia;Con taxímetro;2016;23
Total Nacional;07 Castilla y León;42 Soria;Provincia;Con taxímetro;2015;25
Total Nacional;07 Castilla y León;42 Soria;Provincia;Con taxímetro;2014;25
Total Nacional;07 Castilla y León;42 Soria;Provincia;Con taxímetro;2013;38
Total Nacional;07 Castilla y León;42 Soria;Provincia;Con taxímetro;2012;35
Total Nacional;07 Castilla y León;42 Soria;Provincia;Con taxímetro;2011;33
Total Nacional;07 Castilla y León;42 Soria;Provincia;Con taxímetro;2010;32
Total Nacional;07 Castilla y León;42 Soria;Provincia;Con taxímetro;2009;36
Total Nacional;07 Castilla y León;42 Soria;Provincia;Con taxímetro;2008;34
Total Nacional;07 Castilla y León;42 Soria;Provincia;Con taxímetro;2007;28
Total Nacional;07 Castilla y León;42 Soria;Provincia;Con taxímetro;2006;38
Total Nacional;07 Castilla y León;42 Soria;Provincia;Con taxímetro;2005;35
Total Nacional;07 Castilla y León;42 Soria;Provincia;Con taxímetro;2004;28
Total Nacional;07 Castilla y León;42 Soria;Provincia;Con taxímetro;2003;28
Total Nacional;07 Castilla y León;42 Soria;Provincia;Con taxímetro;2002;31
Total Nacional;07 Castilla y León;42 Soria;Provincia;Con taxímetro;2001;43
Total Nacional;07 Castilla y León;42 Soria;Provincia;Con taxímetro;2000;31
Total Nacional;07 Castilla y León;42 Soria;Provincia;Con taxímetro;1999;32
Total Nacional;07 Castilla y León;42 Soria;Provincia;Con taxímetro;1998;33
Total Nacional;07 Castilla y León;42 Soria;Provincia;Con taxímetro;1997;33
Total Nacional;07 Castilla y León;42 Soria;Provincia;Con taxímetro;1996;37
Total Nacional;07 Castilla y León;42 Soria;Provincia;Con taxímetro;1995;48
Total Nacional;07 Castilla y León;42 Soria;Provincia;Con taxímetro;1994;33
Total Nacional;07 Castilla y León;42 Soria;Provincia;Sin taxímetro;2019;61
Total Nacional;07 Castilla y León;42 Soria;Provincia;Sin taxímetro;2018;62
Total Nacional;07 Castilla y León;42 Soria;Provincia;Sin taxímetro;2017;63
Total Nacional;07 Castilla y León;42 Soria;Provincia;Sin taxímetro;2016;63
Total Nacional;07 Castilla y León;42 Soria;Provincia;Sin taxímetro;2015;65
Total Nacional;07 Castilla y León;42 Soria;Provincia;Sin taxímetro;2014;69
Total Nacional;07 Castilla y León;42 Soria;Provincia;Sin taxímetro;2013;58
Total Nacional;07 Castilla y León;42 Soria;Provincia;Sin taxímetro;2012;62
Total Nacional;07 Castilla y León;42 Soria;Provincia;Sin taxímetro;2011;63
Total Nacional;07 Castilla y León;42 Soria;Provincia;Sin taxímetro;2010;67
Total Nacional;07 Castilla y León;42 Soria;Provincia;Sin taxímetro;2009;66
Total Nacional;07 Castilla y León;42 Soria;Provincia;Sin taxímetro;2008;67
Total Nacional;07 Castilla y León;42 Soria;Provincia;Sin taxímetro;2007;74
Total Nacional;07 Castilla y León;42 Soria;Provincia;Sin taxímetro;2006;67
Total Nacional;07 Castilla y León;42 Soria;Provincia;Sin taxímetro;2005;69
Total Nacional;07 Castilla y León;42 Soria;Provincia;Sin taxímetro;2004;87
Total Nacional;07 Castilla y León;42 Soria;Provincia;Sin taxímetro;2003;87
Total Nacional;07 Castilla y León;42 Soria;Provincia;Sin taxímetro;2002;83
Total Nacional;07 Castilla y León;42 Soria;Provincia;Sin taxímetro;2001;81
Total Nacional;07 Castilla y León;42 Soria;Provincia;Sin taxímetro;2000;87
Total Nacional;07 Castilla y León;42 Soria;Provincia;Sin taxímetro;1999;85
Total Nacional;07 Castilla y León;42 Soria;Provincia;Sin taxímetro;1998;86
Total Nacional;07 Castilla y León;42 Soria;Provincia;Sin taxímetro;1997;89
Total Nacional;07 Castilla y León;42 Soria;Provincia;Sin taxímetro;1996;86
Total Nacional;07 Castilla y León;42 Soria;Provincia;Sin taxímetro;1995;78
Total Nacional;07 Castilla y León;42 Soria;Provincia;Sin taxímetro;1994;90
