Medida;Tipo de dato;Periodo;Total
Viajeros-km (1000);Dato base;2022T1;5.106.121
Viajeros-km (1000);Dato base;2021T4;5.455.709
Viajeros-km (1000);Dato base;2021T3;5.022.318
Viajeros-km (1000);Dato base;2021T2;3.773.072
Viajeros-km (1000);Dato base;2021T1;2.547.776
Viajeros-km (1000);Dato base;2020T4;2.559.653
Viajeros-km (1000);Dato base;2020T3;2.962.650
Viajeros-km (1000);Dato base;2020T2;958.055
Viajeros-km (1000);Dato base;2020T1;5.499.486
Viajeros-km (1000);Dato base;2019T4;7.214.282
Viajeros-km (1000);Dato base;2019T3;7.253.961
Viajeros-km (1000);Dato base;2019T2;7.389.944
Viajeros-km (1000);Dato base;2019T1;6.736.020
Viajeros-km (1000);Dato base;2018T4;7.187.590
Viajeros-km (1000);Dato base;2018T3;7.167.780
Viajeros-km (1000);Dato base;2018T2;7.424.068
Viajeros-km (1000);Dato base;2018T1;6.540.184
Viajeros-km (1000);Dato base;2017T4;6.873.040
Viajeros-km (1000);Dato base;2017T3;6.938.206
Viajeros-km (1000);Dato base;2017T2;7.178.390
Viajeros-km (1000);Dato base;2017T1;6.384.438
Viajeros-km (1000);Dato base;2016T4;6.689.801
Viajeros-km (1000);Dato base;2016T3;6.803.614
Viajeros-km (1000);Dato base;2016T2;6.866.384
Viajeros-km (1000);Dato base;2016T1;6.171.712
Viajeros-km (1000);Dato base;2015T4;7.146.117
Viajeros-km (1000);Dato base;2015T3;6.389.514
Viajeros-km (1000);Dato base;2015T2;6.603.692
Viajeros-km (1000);Dato base;2015T1;5.879.008
Viajeros-km (1000);Dato base;2014T4;6.330.773
Viajeros-km (1000);Dato base;2014T3;6.508.849
Viajeros-km (1000);Dato base;2014T2;6.432.387
Viajeros-km (1000);Dato base;2014T1;5.642.851
Viajeros-km (1000);Dato base;2013T4;5.974.248
Viajeros-km (1000);Dato base;2013T3;6.004.540
Viajeros-km (1000);Dato base;2013T2;6.214.974
Viajeros-km (1000);Dato base;2013T1;5.465.805
Viajeros-km (1000);Dato base;2012T4;5.495.020
Viajeros-km (1000);Dato base;2012T3;5.488.088
Viajeros-km (1000);Dato base;2012T2;5.779.484
Viajeros-km (1000);Dato base;2012T1;5.406.795
Viajeros-km (1000);Dato base;2011T4;5.637.090
Viajeros-km (1000);Dato base;2011T3;5.617.379
Viajeros-km (1000);Dato base;2011T2;5.939.111
Viajeros-km (1000);Dato base;2011T1;5.284.905
Viajeros-km (1000);Dato base;2010T4;5.557.972
Viajeros-km (1000);Dato base;2010T3;5.463.377
Viajeros-km (1000);Dato base;2010T2;5.699.964
Viajeros-km (1000);Dato base;2010T1;5.358.417
Viajeros-km (1000);Variación anual;2024T2;12,2
Viajeros-km (1000);Variación anual;2024T1;15
Viajeros-km (1000);Variación anual;2023T4;14,8
Viajeros-km (1000);Variación anual;2023T3;37
Viajeros-km (1000);Variación anual;2023T2;32,5
Viajeros-km (1000);Variación anual;2023T1;47,4
Viajeros-km (1000);Variación anual;2022T4;40,9
Viajeros-km (1000);Variación anual;2022T3;34
Viajeros-km (1000);Variación anual;2022T2;74,4
Viajeros-km (1000);Variación anual;2022T1;100,4
Viajeros-km (1000);Variación anual;2021T4;113,1
Viajeros-km (1000);Variación anual;2021T3;69,5
Viajeros-km (1000);Variación anual;2021T2;293,8
Viajeros-km (1000);Variación anual;2021T1;-53,7
Viajeros-km (1000);Variación anual;2020T4;-64,5
Viajeros-km (1000);Variación anual;2020T3;-59,2
Viajeros-km (1000);Variación anual;2020T2;-87
Viajeros-km (1000);Variación anual;2020T1;-18,4
Viajeros-km (1000);Variación anual;2019T4;0,4
Viajeros-km (1000);Variación anual;2019T3;1,2
Viajeros-km (1000);Variación anual;2019T2;-0,5
