Total Nacional;Comunidades y Ciudades Autónomas;Viajeros y tasas;Periodo;Total
Total Nacional;;Variación anual;2014M11;-1
Total Nacional;;Variación anual;2014M10;0,3
Total Nacional;;Variación anual;2014M09;2,4
Total Nacional;;Variación anual;2014M08;-1,3
Total Nacional;;Variación anual;2014M07;0
Total Nacional;;Variación anual;2014M06;-0,6
Total Nacional;;Variación anual;2014M05;-1
Total Nacional;;Variación anual;2014M04;-6,7
Total Nacional;;Variación anual;2014M03;8,1
Total Nacional;;Variación anual;2014M02;1,6
Total Nacional;;Variación anual;2014M01;-1,6
Total Nacional;;Variación anual;2013M12;2,3
Total Nacional;;Variación anual;2013M11;2,7
Total Nacional;;Variación anual;2013M10;4,1
Total Nacional;;Variación anual;2013M09;1,9
Total Nacional;;Variación anual;2013M08;-3,3
Total Nacional;;Variación anual;2013M07;1,7
Total Nacional;;Variación anual;2013M06;-4,5
Total Nacional;;Variación anual;2013M05;-2,9
Total Nacional;;Variación anual;2013M04;8,5
Total Nacional;;Variación anual;2013M03;-12,5
Total Nacional;;Variación anual;2013M02;-7,9
Total Nacional;;Variación anual;2013M01;-4,3
Total Nacional;;Variación anual;2012M12;-9,5
Total Nacional;;Variación anual;2012M11;-10,2
Total Nacional;;Variación anual;2012M10;-2,7
Total Nacional;;Variación anual;2012M09;-10,1
Total Nacional;;Variación anual;2012M08;-6,6
Total Nacional;;Variación anual;2012M07;-4,3
Total Nacional;;Variación anual;2012M06;-5,4
Total Nacional;;Variación anual;2012M05;-4,7
Total Nacional;;Variación anual;2012M04;-5,7
Total Nacional;;Variación anual;2012M03;-5,1
Total Nacional;;Variación anual;2012M02;-0,4
Total Nacional;;Variación anual;2012M01;1,7
Total Nacional;;Variación de la media en lo que va de año;2024M09;9,8
Total Nacional;;Variación de la media en lo que va de año;2024M08;10,5
Total Nacional;;Variación de la media en lo que va de año;2024M07;11,2
Total Nacional;;Variación de la media en lo que va de año;2024M06;11,9
Total Nacional;;Variación de la media en lo que va de año;2024M05;13,5
Total Nacional;;Variación de la media en lo que va de año;2024M04;14,6
Total Nacional;;Variación de la media en lo que va de año;2024M03;12
Total Nacional;;Variación de la media en lo que va de año;2024M02;19,4
Total Nacional;;Variación de la media en lo que va de año;2024M01;18,4
Total Nacional;;Variación de la media en lo que va de año;2023M12;22,4
Total Nacional;;Variación de la media en lo que va de año;2023M11;22,8
Total Nacional;;Variación de la media en lo que va de año;2023M10;23,3
Total Nacional;;Variación de la media en lo que va de año;2023M09;23,5
Total Nacional;;Variación de la media en lo que va de año;2023M08;23,8
