Total Nacional;Comunidades y Ciudades Autónomas;Viajeros y tasas;Periodo;Total
Total Nacional;08 Castilla - La Mancha;Variación anual;2018M01;8,5
Total Nacional;08 Castilla - La Mancha;Variación anual;2017M12;1,2
Total Nacional;08 Castilla - La Mancha;Variación anual;2017M11;-0,5
Total Nacional;08 Castilla - La Mancha;Variación anual;2017M10;4,5
Total Nacional;08 Castilla - La Mancha;Variación anual;2017M09;-1,5
Total Nacional;08 Castilla - La Mancha;Variación anual;2017M08;2,2
Total Nacional;08 Castilla - La Mancha;Variación anual;2017M07;0,6
Total Nacional;08 Castilla - La Mancha;Variación anual;2017M06;-4,4
Total Nacional;08 Castilla - La Mancha;Variación anual;2017M05;3,3
Total Nacional;08 Castilla - La Mancha;Variación anual;2017M04;-14,3
Total Nacional;08 Castilla - La Mancha;Variación anual;2017M03;8,4
Total Nacional;08 Castilla - La Mancha;Variación anual;2017M02;-5,7
Total Nacional;08 Castilla - La Mancha;Variación anual;2017M01;0,2
Total Nacional;08 Castilla - La Mancha;Variación anual;2016M12;-2,6
Total Nacional;08 Castilla - La Mancha;Variación anual;2016M11;-4
Total Nacional;08 Castilla - La Mancha;Variación anual;2016M10;-6
Total Nacional;08 Castilla - La Mancha;Variación anual;2016M09;-0,8
Total Nacional;08 Castilla - La Mancha;Variación anual;2016M08;1,6
Total Nacional;08 Castilla - La Mancha;Variación anual;2016M07;-5,6
Total Nacional;08 Castilla - La Mancha;Variación anual;2016M06;3,1
Total Nacional;08 Castilla - La Mancha;Variación anual;2016M05;-1,4
Total Nacional;08 Castilla - La Mancha;Variación anual;2016M04;8,2
Total Nacional;08 Castilla - La Mancha;Variación anual;2016M03;-3,9
Total Nacional;08 Castilla - La Mancha;Variación anual;2016M02;7,9
Total Nacional;08 Castilla - La Mancha;Variación anual;2016M01;1
Total Nacional;08 Castilla - La Mancha;Variación anual;2015M12;0,5
Total Nacional;08 Castilla - La Mancha;Variación anual;2015M11;5,1
Total Nacional;08 Castilla - La Mancha;Variación anual;2015M10;-3,7
Total Nacional;08 Castilla - La Mancha;Variación anual;2015M09;1,2
Total Nacional;08 Castilla - La Mancha;Variación anual;2015M08;4,6
Total Nacional;08 Castilla - La Mancha;Variación anual;2015M07;-0,8
Total Nacional;08 Castilla - La Mancha;Variación anual;2015M06;1,6
Total Nacional;08 Castilla - La Mancha;Variación anual;2015M05;-3
Total Nacional;08 Castilla - La Mancha;Variación anual;2015M04;-0,2
Total Nacional;08 Castilla - La Mancha;Variación anual;2015M03;-0,5
Total Nacional;08 Castilla - La Mancha;Variación anual;2015M02;-4,4
Total Nacional;08 Castilla - La Mancha;Variación anual;2015M01;-6,2
Total Nacional;08 Castilla - La Mancha;Variación anual;2014M12;2,4
Total Nacional;08 Castilla - La Mancha;Variación anual;2014M11;0,7
Total Nacional;08 Castilla - La Mancha;Variación anual;2014M10;0,4
Total Nacional;08 Castilla - La Mancha;Variación anual;2014M09;3,2
Total Nacional;08 Castilla - La Mancha;Variación anual;2014M08;-2,2
Total Nacional;08 Castilla - La Mancha;Variación anual;2014M07;2,6
Total Nacional;08 Castilla - La Mancha;Variación anual;2014M06;-0,2
Total Nacional;08 Castilla - La Mancha;Variación anual;2014M05;2,6
Total Nacional;08 Castilla - La Mancha;Variación anual;2014M04;-10,9
Total Nacional;08 Castilla - La Mancha;Variación anual;2014M03;-2,6
Total Nacional;08 Castilla - La Mancha;Variación anual;2014M02;-7,7
Total Nacional;08 Castilla - La Mancha;Variación anual;2014M01;-9,3
Total Nacional;08 Castilla - La Mancha;Variación anual;2013M12;-7
Total Nacional;08 Castilla - La Mancha;Variación anual;2013M11;-9,9
Total Nacional;08 Castilla - La Mancha;Variación anual;2013M10;-9
Total Nacional;08 Castilla - La Mancha;Variación anual;2013M09;-10,7
Total Nacional;08 Castilla - La Mancha;Variación anual;2013M08;-15,2
Total Nacional;08 Castilla - La Mancha;Variación anual;2013M07;-16,5
Total Nacional;08 Castilla - La Mancha;Variación anual;2013M06;-16,7
Total Nacional;08 Castilla - La Mancha;Variación anual;2013M05;-19,2
Total Nacional;08 Castilla - La Mancha;Variación anual;2013M04;-4,7
Total Nacional;08 Castilla - La Mancha;Variación anual;2013M03;-19,8
Total Nacional;08 Castilla - La Mancha;Variación anual;2013M02;-16,9
Total Nacional;08 Castilla - La Mancha;Variación anual;2013M01;-15
Total Nacional;08 Castilla - La Mancha;Variación anual;2012M12;-19
Total Nacional;08 Castilla - La Mancha;Variación anual;2012M11;-18,5
Total Nacional;08 Castilla - La Mancha;Variación anual;2012M10;-9,4
Total Nacional;08 Castilla - La Mancha;Variación anual;2012M09;-15,9
Total Nacional;08 Castilla - La Mancha;Variación anual;2012M08;-15,6
Total Nacional;08 Castilla - La Mancha;Variación anual;2012M07;-10,9
Total Nacional;08 Castilla - La Mancha;Variación anual;2012M06;-12,1
Total Nacional;08 Castilla - La Mancha;Variación anual;2012M05;-6,1
Total Nacional;08 Castilla - La Mancha;Variación anual;2012M04;-7,5
Total Nacional;08 Castilla - La Mancha;Variación anual;2012M03;-3,3
Total Nacional;08 Castilla - La Mancha;Variación anual;2012M02;1,6
Total Nacional;08 Castilla - La Mancha;Variación anual;2012M01;3,8
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2024M09;14,5
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2024M08;12,7
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2024M07;12,9
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2024M06;12,3
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2024M05;13,5
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2024M04;14,8
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2024M03;11,7
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2024M02;21,1
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2024M01;22,2
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2023M12;21,2
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2023M11;21,8
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2023M10;22,6
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2023M09;23,2
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2023M08;26,8
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2023M07;27
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2023M06;26,9
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2023M05;26,4
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2023M04;25,8
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2023M03;26,6
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2023M02;26,6
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2023M01;31,1
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2022M12;27,4
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2022M11;28
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2022M10;29
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2022M09;29,8
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2022M08;29,9
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2022M07;31
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2022M06;33,7
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2022M05;36,8
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2022M04;39,3
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2022M03;45,9
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2022M02;55,4
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2022M01;71,2
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2021M12;18,6
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2021M11;17,9
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2021M10;15,6
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2021M09;14,2
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2021M08;11,9
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2021M07;11,5
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2021M06;10,4
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2021M05;1,7
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2021M04;-16,7
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2021M03;-38,2
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2021M02;-55,4
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2021M01;-61,6
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2020M12;-45,7
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2020M11;-46
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2020M10;-46,1
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2020M09;-46,1
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2020M08;-46,3
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2020M07;-46,9
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2020M06;-47,3
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2020M05;-44,5
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2020M04;-34
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2020M03;-16
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2020M02;3,7
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2020M01;2
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2019M12;3,3
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2019M11;3,2
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2019M10;3,3
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2019M09;3,1
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2019M08;2,8
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2019M07;2,7
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2019M06;3,1
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2019M05;3,8
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2019M04;4,5
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2019M03;7,6
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2019M02;5,2
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2019M01;4
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2018M12;4,3
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2018M11;4,2
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2018M10;4
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2018M09;3,7
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2018M08;4
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2018M07;4,5
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2018M06;3,6
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2018M05;3,4
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2018M04;3,1
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2018M03;-0,6
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2018M02;4,9
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2018M01;8,5
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2017M12;-0,7
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2017M11;-0,8
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2017M10;-0,9
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2017M09;-1,5
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2017M08;-1,5
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2017M07;-1,9
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2017M06;-2,2
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2017M05;-1,8
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2017M04;-3,1
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2017M03;1
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2017M02;-2,9
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2017M01;0,2
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2016M12;-0,3
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2016M11;-0,1
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2016M10;0,3
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2016M09;1,1
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2016M08;1,4
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2016M07;1,4
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2016M06;2,4
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2016M05;2,2
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2016M04;3,2
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2016M03;1,5
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2016M02;4,5
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2016M01;1
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2015M12;-0,7
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2015M11;-0,8
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2015M10;-1,4
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2015M09;-1,1
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2015M08;-1,4
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2015M07;-1,9
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2015M06;-2,1
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2015M05;-2,8
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2015M04;-2,8
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2015M03;-3,6
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2015M02;-5,3
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2015M01;-6,2
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2014M12;-2
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2014M11;-2,4
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2014M10;-2,7
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2014M09;-3,1
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2014M08;-3,8
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2014M07;-4
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2014M06;-4,8
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2014M05;-5,6
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2014M04;-7,6
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2014M03;-6,5
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2014M02;-8,5
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2014M01;-9,3
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2013M12;-13,5
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2013M11;-14,1
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2013M10;-14,5
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2013M09;-15,1
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2013M08;-15,6
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2013M07;-15,7
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2013M06;-15,6
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2013M05;-15,4
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2013M04;-14,4
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2013M03;-17,3
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2013M02;-16
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2013M01;-15
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2012M12;-9,3
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2012M11;-8,4
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2012M10;-7,3
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2012M09;-7
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2012M08;-5,9
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2012M07;-4,9
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2012M06;-4
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2012M05;-2,4
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2012M04;-1,4
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2012M03;0,5
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2012M02;2,7
Total Nacional;08 Castilla - La Mancha;Variación de la media en lo que va de año;2012M01;3,8
Total Nacional;09 Cataluña;Viajeros transportados;2024M09;27.487
Total Nacional;09 Cataluña;Viajeros transportados;2024M08;20.928
Total Nacional;09 Cataluña;Viajeros transportados;2024M07;27.037
Total Nacional;09 Cataluña;Viajeros transportados;2024M06;27.180
Total Nacional;09 Cataluña;Viajeros transportados;2024M05;29.009
Total Nacional;09 Cataluña;Viajeros transportados;2024M04;28.355
Total Nacional;09 Cataluña;Viajeros transportados;2024M03;27.343
Total Nacional;09 Cataluña;Viajeros transportados;2024M02;27.980
Total Nacional;09 Cataluña;Viajeros transportados;2024M01;26.484
Total Nacional;09 Cataluña;Viajeros transportados;2023M12;24.440
Total Nacional;09 Cataluña;Viajeros transportados;2023M11;29.118
Total Nacional;09 Cataluña;Viajeros transportados;2023M10;30.267
Total Nacional;09 Cataluña;Viajeros transportados;2023M09;26.350
Total Nacional;09 Cataluña;Viajeros transportados;2023M08;19.906
Total Nacional;09 Cataluña;Viajeros transportados;2023M07;25.784
Total Nacional;09 Cataluña;Viajeros transportados;2023M06;26.279
Total Nacional;09 Cataluña;Viajeros transportados;2023M05;27.485
Total Nacional;09 Cataluña;Viajeros transportados;2023M04;23.647
Total Nacional;09 Cataluña;Viajeros transportados;2023M03;27.596
Total Nacional;09 Cataluña;Viajeros transportados;2023M02;22.953
Total Nacional;09 Cataluña;Viajeros transportados;2023M01;22.418
Total Nacional;09 Cataluña;Viajeros transportados;2022M12;21.339
Total Nacional;09 Cataluña;Viajeros transportados;2022M11;25.022
Total Nacional;09 Cataluña;Viajeros transportados;2022M10;25.632
Total Nacional;09 Cataluña;Viajeros transportados;2022M09;23.329
Total Nacional;09 Cataluña;Viajeros transportados;2022M08;17.314
Total Nacional;09 Cataluña;Viajeros transportados;2022M07;21.899
Total Nacional;09 Cataluña;Viajeros transportados;2022M06;22.451
Total Nacional;09 Cataluña;Viajeros transportados;2022M05;24.438
Total Nacional;09 Cataluña;Viajeros transportados;2022M04;21.123
Total Nacional;09 Cataluña;Viajeros transportados;2022M03;23.434
Total Nacional;09 Cataluña;Viajeros transportados;2022M02;19.986
Total Nacional;09 Cataluña;Viajeros transportados;2022M01;17.754
Total Nacional;09 Cataluña;Viajeros transportados;2021M12;19.337
Total Nacional;09 Cataluña;Viajeros transportados;2021M11;22.278
Total Nacional;09 Cataluña;Viajeros transportados;2021M10;21.930
Total Nacional;09 Cataluña;Viajeros transportados;2021M09;19.725
Total Nacional;09 Cataluña;Viajeros transportados;2021M08;13.274
Total Nacional;09 Cataluña;Viajeros transportados;2021M07;18.098
Total Nacional;09 Cataluña;Viajeros transportados;2021M06;19.432
Total Nacional;09 Cataluña;Viajeros transportados;2021M05;18.569
Total Nacional;09 Cataluña;Viajeros transportados;2021M04;17.171
Total Nacional;09 Cataluña;Viajeros transportados;2021M03;18.348
Total Nacional;09 Cataluña;Viajeros transportados;2021M02;15.068
Total Nacional;09 Cataluña;Viajeros transportados;2021M01;13.490
Total Nacional;09 Cataluña;Viajeros transportados;2020M12;15.635
Total Nacional;09 Cataluña;Viajeros transportados;2020M11;15.420
Total Nacional;09 Cataluña;Viajeros transportados;2020M10;17.094
Total Nacional;09 Cataluña;Viajeros transportados;2020M09;15.318
Total Nacional;09 Cataluña;Viajeros transportados;2020M08;10.511
Total Nacional;09 Cataluña;Viajeros transportados;2020M07;13.677
Total Nacional;09 Cataluña;Viajeros transportados;2020M06;10.033
Total Nacional;09 Cataluña;Viajeros transportados;2020M05;4.467
Total Nacional;09 Cataluña;Viajeros transportados;2020M04;1.836
Total Nacional;09 Cataluña;Viajeros transportados;2020M03;12.878
Total Nacional;09 Cataluña;Viajeros transportados;2020M02;26.622
Total Nacional;09 Cataluña;Viajeros transportados;2020M01;25.823
Total Nacional;09 Cataluña;Viajeros transportados;2019M12;24.595
Total Nacional;09 Cataluña;Viajeros transportados;2019M11;26.857
Total Nacional;09 Cataluña;Viajeros transportados;2019M10;29.062
Total Nacional;09 Cataluña;Viajeros transportados;2019M09;25.929
Total Nacional;09 Cataluña;Viajeros transportados;2019M08;19.401
Total Nacional;09 Cataluña;Viajeros transportados;2019M07;27.503
Total Nacional;09 Cataluña;Viajeros transportados;2019M06;26.684
Total Nacional;09 Cataluña;Viajeros transportados;2019M05;29.132
Total Nacional;09 Cataluña;Viajeros transportados;2019M04;26.228
Total Nacional;09 Cataluña;Viajeros transportados;2019M03;27.728
Total Nacional;09 Cataluña;Viajeros transportados;2019M02;25.048
Total Nacional;09 Cataluña;Viajeros transportados;2019M01;25.767
Total Nacional;09 Cataluña;Viajeros transportados;2018M12;23.196
Total Nacional;09 Cataluña;Viajeros transportados;2018M11;26.712
Total Nacional;09 Cataluña;Viajeros transportados;2018M10;28.654
Total Nacional;09 Cataluña;Viajeros transportados;2018M09;24.008
Total Nacional;09 Cataluña;Viajeros transportados;2018M08;18.783
Total Nacional;09 Cataluña;Viajeros transportados;2018M07;25.621
Total Nacional;09 Cataluña;Viajeros transportados;2018M06;26.795
Total Nacional;09 Cataluña;Viajeros transportados;2018M05;27.555
Total Nacional;09 Cataluña;Viajeros transportados;2018M04;25.761
Total Nacional;09 Cataluña;Viajeros transportados;2018M03;24.995
Total Nacional;09 Cataluña;Viajeros transportados;2018M02;23.303
Total Nacional;09 Cataluña;Viajeros transportados;2018M01;24.618
Total Nacional;09 Cataluña;Viajeros transportados;2017M12;21.529
Total Nacional;09 Cataluña;Viajeros transportados;2017M11;25.807
Total Nacional;09 Cataluña;Viajeros transportados;2017M10;25.817
Total Nacional;09 Cataluña;Viajeros transportados;2017M09;23.610
Total Nacional;09 Cataluña;Viajeros transportados;2017M08;17.949
Total Nacional;09 Cataluña;Viajeros transportados;2017M07;24.874
Total Nacional;09 Cataluña;Viajeros transportados;2017M06;26.341
Total Nacional;09 Cataluña;Viajeros transportados;2017M05;28.052
Total Nacional;09 Cataluña;Viajeros transportados;2017M04;22.919
Total Nacional;09 Cataluña;Viajeros transportados;2017M03;27.333
Total Nacional;09 Cataluña;Viajeros transportados;2017M02;23.344
Total Nacional;09 Cataluña;Viajeros transportados;2017M01;22.918
Total Nacional;09 Cataluña;Viajeros transportados;2016M12;22.381
Total Nacional;09 Cataluña;Viajeros transportados;2016M11;25.385
Total Nacional;09 Cataluña;Viajeros transportados;2016M10;25.393
Total Nacional;09 Cataluña;Viajeros transportados;2016M09;24.898
Total Nacional;09 Cataluña;Viajeros transportados;2016M08;17.285
Total Nacional;09 Cataluña;Viajeros transportados;2016M07;23.397
Total Nacional;09 Cataluña;Viajeros transportados;2016M06;25.183
Total Nacional;09 Cataluña;Viajeros transportados;2016M05;25.859
Total Nacional;09 Cataluña;Viajeros transportados;2016M04;24.887
Total Nacional;09 Cataluña;Viajeros transportados;2016M03;23.420
Total Nacional;09 Cataluña;Viajeros transportados;2016M02;22.484
Total Nacional;09 Cataluña;Viajeros transportados;2016M01;21.534
Total Nacional;09 Cataluña;Viajeros transportados;2015M12;22.445
Total Nacional;09 Cataluña;Viajeros transportados;2015M11;24.474
Total Nacional;09 Cataluña;Viajeros transportados;2015M10;25.330
Total Nacional;09 Cataluña;Viajeros transportados;2015M09;21.975
Total Nacional;09 Cataluña;Viajeros transportados;2015M08;15.750
Total Nacional;09 Cataluña;Viajeros transportados;2015M07;23.423
Total Nacional;09 Cataluña;Viajeros transportados;2015M06;23.444
Total Nacional;09 Cataluña;Viajeros transportados;2015M05;24.374
Total Nacional;09 Cataluña;Viajeros transportados;2015M04;22.873
Total Nacional;09 Cataluña;Viajeros transportados;2015M03;23.628
Total Nacional;09 Cataluña;Viajeros transportados;2015M02;21.156
Total Nacional;09 Cataluña;Viajeros transportados;2015M01;21.239
Total Nacional;09 Cataluña;Viajeros transportados;2014M12;21.383
Total Nacional;09 Cataluña;Viajeros transportados;2014M11;22.514
Total Nacional;09 Cataluña;Viajeros transportados;2014M10;26.262
Total Nacional;09 Cataluña;Viajeros transportados;2014M09;21.402
Total Nacional;09 Cataluña;Viajeros transportados;2014M08;15.088
Total Nacional;09 Cataluña;Viajeros transportados;2014M07;22.694
Total Nacional;09 Cataluña;Viajeros transportados;2014M06;22.114
Total Nacional;09 Cataluña;Viajeros transportados;2014M05;24.183
Total Nacional;09 Cataluña;Viajeros transportados;2014M04;22.308
Total Nacional;09 Cataluña;Viajeros transportados;2014M03;23.566
Total Nacional;09 Cataluña;Viajeros transportados;2014M02;21.640
Total Nacional;09 Cataluña;Viajeros transportados;2014M01;21.930
Total Nacional;09 Cataluña;Viajeros transportados;2013M12;20.798
Total Nacional;09 Cataluña;Viajeros transportados;2013M11;22.566
Total Nacional;09 Cataluña;Viajeros transportados;2013M10;25.847
Total Nacional;09 Cataluña;Viajeros transportados;2013M09;20.913
Total Nacional;09 Cataluña;Viajeros transportados;2013M08;14.926
Total Nacional;09 Cataluña;Viajeros transportados;2013M07;22.854
Total Nacional;09 Cataluña;Viajeros transportados;2013M06;22.512
Total Nacional;09 Cataluña;Viajeros transportados;2013M05;23.979
Total Nacional;09 Cataluña;Viajeros transportados;2013M04;23.430
Total Nacional;09 Cataluña;Viajeros transportados;2013M03;21.509
Total Nacional;09 Cataluña;Viajeros transportados;2013M02;20.720
Total Nacional;09 Cataluña;Viajeros transportados;2013M01;22.302
Total Nacional;09 Cataluña;Viajeros transportados;2012M12;19.629
Total Nacional;09 Cataluña;Viajeros transportados;2012M11;20.982
Total Nacional;09 Cataluña;Viajeros transportados;2012M10;22.537
